권역,연앙인구,시도기준전출합,권역기준전출,시도기준순이동합,권역기준순이동,과대계상,과대계상률(%),시도기준전출률(‰),권역기준전출률(‰)
수도권,1862209.0,175479,63848,18658,18658,111631,63.61501946101813,94.23163565421497,34.28616229435042
부산·울산·경남권,414719.0,52390,33057,-6484,-6484,19333,36.90208054972323,126.32650059437836,79.70939358939425
광주·전남권,182347.5,24912,17006,-4467,-4467,7906,31.735709698137445,136.61827006128408,93.26149248001755
충청권,334148.0,49742,35496,3185,3185,14246,28.63978127136022,148.86218083005136,106.22837784454794
대구·경북권,261278.0,38274,27351,-6222,-6222,10923,28.53895594920834,146.4876491706152,104.68160350278248
강원특별자치도,80506.5,11934,11934,-1472,-1472,0,0.0,148.23647779992922,148.23647779992922
전북특별자치도,91529.5,11244,11244,-2590,-2590,0,0.0,122.84563993029569,122.84563993029569
제주특별자치도,36264.5,4768,4768,-608,-608,0,0.0,131.4784431055164,131.4784431055164
