권역,구성시도수,권역내부이동,권역밖전출,권역밖전입,권역순이동,내부이동/권역밖전출(%)
수도권,3,111631,63848,82506,18658,174.8
부산·울산·경남권,3,19333,33057,26573,-6484,58.5
충청권,4,14246,35496,38681,3185,40.1
대구·경북권,2,10923,27351,21129,-6222,39.9
광주·전남권,2,7906,17006,12539,-4467,46.5
강원특별자치도,1,0,11934,10462,-1472,0.0
전북특별자치도,1,0,11244,8654,-2590,0.0
제주특별자치도,1,0,4768,4160,-608,0.0
