orig_nm,경북,대구
dest_nm,대구,경북
year,,
2015,5657,5606
2016,5331,5110
2017,5666,5324
2018,6124,5826
2019,6100,6383
2020,7345,6575
2021,6540,7032
2022,5878,5864
2023,5808,5501
2024,5773,5600
2025,5680,5243
